"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ViralHepatitisCaseReportFormModel","ViralHepatitisCaseReportFormModel","","","",0,*,"","","","","VH Case Report Form Logical Model","Viral Hepatitis Case Report Form Logical Model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ViralHepatitisCaseReportFormModel.ConsultDate","ViralHepatitisCaseReportFormModel.ConsultDate","","","",1,1,"","","","dateTime {[]} {[]}
","Consult Date (MM/DD/YYYY)","Consult Date (MM/DD/YYYY)","","","","","","","","","",,,,,"",,,,"ViralHepatitisCaseReportFormModel.ConsultDate",1,1,"",""
"ViralHepatitisCaseReportFormModel.PatientCode","ViralHepatitisCaseReportFormModel.PatientCode","","","",1,1,"","","","Identifier {[]} {[]}
","Patient Code","Patient Identifier","","","","","","","","","",,,,,"",,,,"ViralHepatitisCaseReportFormModel.PatientCode",1,1,"",""
"ViralHepatitisCaseReportFormModel.TestingFacilityName","ViralHepatitisCaseReportFormModel.TestingFacilityName","","","",1,1,"","","","Reference {[]} {[]}
","Testing Facility Name","The location where the encounter takes place.","","","","","","","","","",,,,,"",,,,"ViralHepatitisCaseReportFormModel.TestingFacilityName",1,1,"",""
"ViralHepatitisCaseReportFormModel.ContactNo","ViralHepatitisCaseReportFormModel.ContactNo","","","",0,*,"","","","ContactPoint {[]} {[]}
","Contact Number","Contact number of the Patient","","","","","","","","","",,,,,"",,,,"ViralHepatitisCaseReportFormModel.ContactNo",0,*,"",""
"ViralHepatitisCaseReportFormModel.FacilityAddress","ViralHepatitisCaseReportFormModel.FacilityAddress","","","",1,1,"","","","Address {[]} {[]}
","Facility Address","Physical location where the encounter takes place","","","","","","","","","",,,,,"",,,,"ViralHepatitisCaseReportFormModel.FacilityAddress",1,1,"",""
"ViralHepatitisCaseReportFormModel.ClientType","ViralHepatitisCaseReportFormModel.ClientType","","","",1,1,"","","","code {[]} {[]}
","Client Type","Walk-in, Referrakm, and In-patient","","","","","","","","","",,,,,"",,,,"ViralHepatitisCaseReportFormModel.ClientType",1,1,"",""
"ViralHepatitisCaseReportFormModel.TestedPositiveForHepatitisB","ViralHepatitisCaseReportFormModel.TestedPositiveForHepatitisB","","","",0,1,"","","","BackboneElement {[]} {[]}
","If patient tested positive for Hepatitis B","If patient tested positive for Hepatitis B","","","","","","","","","",,,,,"",,,,"ViralHepatitisCaseReportFormModel.TestedPositiveForHepatitisB",0,1,"",""
"ViralHepatitisCaseReportFormModel.TestedPositiveForHepatitisC","ViralHepatitisCaseReportFormModel.TestedPositiveForHepatitisC","","","",0,1,"","","","BackboneElement {[]} {[]}
","If patient tested positive for Hepatitis C","If patient tested positive for Hepatitis C","","","","","","","","","",,,,,"",,,,"ViralHepatitisCaseReportFormModel.TestedPositiveForHepatitisC",0,1,"",""
"ViralHepatitisCaseReportFormModel.DateofBaselineHBsAgTest","ViralHepatitisCaseReportFormModel.DateofBaselineHBsAgTest","","","",0,1,"","","","dateTime {[]} {[]}
","Date of Baseline HBsAgTest (MM/DD/YYYY)","Date of Baseline HBsAgTest (MM/DD/YYYY)","","","","","","","","","",,,,,"",,,,"ViralHepatitisCaseReportFormModel.DateofBaselineHBsAgTest",0,1,"",""
