Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.who.smart-ig-upvhproject.json	25136	-	0	0	0	0	0	0	5	84	0	0	0	0	0	0	0	1	0	0	231	103	0	0	1	6	0	1
input/profiles/Media-observation-uv-ips.structuredefinition.xml	2037	25	0	0	0	0	0	155	0	79	0	0	0	0	0	0	0	1	0	0	157	1854	0	0	0	6	0	0
input/profiles/Immunization-uv-ips.structuredefinition.xml	11619	37	0	0	0	0	0	211	0	151	0	0	0	0	0	0	0	1	0	0	409	1151	0	0	0	8	0	1
input/profiles/Psgc4b.json	470163	650	1	0	0	0	0	0	37	0	0	0	9	1	0	0	0	4	0	0	983	3228	0	0	0	29	0	12
input/profiles/Psgc5.json	1099513	1458	1	0	0	0	0	0	73	0	0	0	3	1	0	0	0	8	0	0	2363	2777	0	0	0	68	0	7
input/profiles/Ratio-uv-ips.structuredefinition.xml	1240	8	1	0	1	0	0	25	0	14	0	0	0	0	0	0	0	0	0	0	60	236	0	0	0	1	0	0
input/profiles/MedicationStatement-uv-ips.structuredefinition.xml	4902	13	0	0	0	0	0	172	0	167	0	0	0	0	0	0	0	1	0	0	260	683	0	0	0	22	0	0
input/profiles/Organization-uv-ips.structuredefinition.xml	1035	5	0	0	0	0	0	80	0	60	0	0	0	0	0	0	0	0	0	0	120	248	0	0	0	5	0	0
input/profiles/Practitioner-uv-ips.structuredefinition.xml	1420	7	0	0	0	0	0	93	0	76	0	0	0	0	0	0	0	0	0	0	127	296	0	0	0	4	0	0
input/profiles/Psgc8.json	1380685	1858	2	0	0	0	0	0	92	0	0	0	1	10	0	0	0	11	0	0	3004	2845	0	0	0	148	0	12
input/profiles/Psgc7.json	953833	1294	1	0	0	0	0	0	47	0	0	0	2	1	0	0	0	8	0	0	1974	2197	0	0	0	59	0	12
input/profiles/ImagingStudy-uv-ips.structuredefinition.xml	3236	29	0	0	0	0	0	149	0	133	0	0	0	0	0	0	0	0	0	0	232	550	0	0	0	8	0	0
input/profiles/Composition-uv-ips.structuredefinition.xml	46716	118	0	0	0	0	0	1524	1	665	0	0	0	0	0	0	0	3	0	0	1280	3043	0	0	0	76	1	10
input/profiles/Bundle-uv-ips.json	15224	17	1	0	0	0	0	1907	0	1194	0	0	1	0	0	0	0	6	0	0	2680	4484	0	1	0	131	10	2
input/profiles/Coding-uv-ips.structuredefinition.xml	1877	15	0	0	0	0	0	28	0	26	0	0	0	0	0	0	0	0	0	0	45	167	0	0	0	2	0	0
input/profiles/Psgc4a.json	1282142	1718	2	0	0	0	0	0	47	0	0	0	10	1	0	0	0	10	0	0	2835	2338	0	0	0	85	0	10
input/profiles/Medication-uv-ips.structuredefinition.xml	8495	12	0	0	0	0	0	58	1	53	0	0	0	0	0	0	0	0	0	0	128	294	0	0	0	5	0	0
input/profiles/Psgc6.json	1280806	1724	2	0	0	0	0	0	47	0	0	0	1	2	0	0	0	10	0	0	2719	2331	0	0	0	86	0	6
input/profiles/PractitionerRole-uv-ips.structuredefinition.xml	2188	9	0	0	0	0	0	60	0	135	0	0	0	0	0	0	0	0	0	0	120	203	0	0	0	4	0	1
input/profiles/CapabilityStatement-uv-ips.structuredefinition.xml	13072	22	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	34	31	0	1	0	1	0	0
input/profiles/MedicationRequest-uv-ips.json	6030	7	0	0	0	0	0	156	0	147	0	0	1	0	0	0	0	1	0	0	330	590	0	0	0	12	0	0
input/profiles/Observation-results-radiology-uv-ips.structuredefinition.xml	15076	24	0	0	0	0	0	452	0	351	0	0	0	0	0	0	0	1	0	0	520	1419	0	0	0	23	0	1
input/profiles/Observation-tobaccoUse-uv-ips.structuredefinition.xml	3022	9	0	0	0	0	0	151	0	150	0	0	0	0	0	0	0	1	0	0	241	598	0	0	0	18	0	0
input/profiles/Psgc3.json	995801	1323	2	0	0	0	0	0	37	1	0	0	1	1	0	0	0	8	0	0	2069	1463	0	0	0	63	0	4
input/profiles/Observation-results-pathology-uv-ips.structuredefinition.xml	9827	45	0	0	0	0	0	210	0	205	0	0	0	0	0	0	0	0	0	0	336	617	0	0	0	11	1	1
input/profiles/Observation-results-laboratory-uv-ips.structuredefinition.xml	12045	35	0	0	0	0	0	184	0	153	0	0	0	0	0	0	0	1	0	0	323	835	0	0	0	12	0	0
input/profiles/Psgcncr.json	542622	705	1	0	0	0	0	0	20	0	0	0	1	0	0	0	0	4	0	0	1080	1048	0	0	0	29	0	3
input/profiles/OperationDefinition-summary-uv-ips.structuredefinition.xml	2509	11	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	13	0	0
input/profiles/Psgc9.json	604580	761	0	0	0	0	0	0	22	1	0	0	0	1	0	0	0	5	0	0	1350	770	0	0	0	41	0	2
input/profiles/Condition-uv-ips.structuredefinition.xml	7250	13	1	0	0	0	0	80	0	95	0	0	1	0	0	0	0	0	0	0	198	328	0	0	0	8	0	1
input/profiles/AllergyIntolerance-uv-ips.structuredefinition.xml	7240	12	0	0	0	0	0	75	0	85	0	0	0	0	0	0	0	1	0	0	176	296	0	3	0	7	0	0
input/profiles/Psgc2.json	738310	1075	1	0	0	0	0	0	27	0	0	0	1	1	0	0	0	6	0	0	1492	1381	0	0	0	50	0	3
input/profiles/Psgc1.json	1042102	1440	1	0	0	0	0	0	39	0	0	0	9	9	0	0	0	8	0	0	2232	1554	0	0	0	65	0	5
input/profiles/CodeableConcept-uv-ips.structuredefinition.xml	1482	7	0	0	0	0	0	12	0	17	0	0	0	0	0	0	0	0	0	0	26	90	0	0	0	2	0	0
input/profiles/Observation-alcoholUse-uv-ips.structuredefinition.xml	2791	8	0	0	0	0	0	104	0	106	0	0	0	0	0	0	0	0	0	0	242	362	0	0	0	24	0	0
input/profiles/DeviceUseStatement-uv-ips.structuredefinition.xml	3249	7	0	0	0	0	0	81	0	55	0	0	0	0	0	0	0	1	0	0	116	371	0	0	0	4	0	1
input/profiles/Observation-pregnancy-edd-uv-ips.structuredefinition.xml	3592	10	0	0	0	0	0	105	0	177	0	0	0	0	0	0	0	0	0	0	243	490	0	0	0	9	0	0
input/profiles/Device-uv-ips.structuredefinition.xml	3737	6	1	0	0	0	0	101	0	104	0	0	0	0	0	0	0	1	0	0	226	568	0	0	0	15	0	0
input/profiles/Psgccar.json	386126	489	0	0	0	0	0	0	14	0	0	0	1	1	0	0	0	3	0	0	791	746	0	0	0	22	0	2
input/profiles/Range-uv-ips.structuredefinition.xml	1239	5	0	0	0	0	0	13	0	15	0	0	0	0	0	0	0	0	0	0	27	146	0	0	0	2	0	0
input/profiles/DiagnosticReport-uv-ips.structuredefinition.xml	5029	11	0	0	0	0	0	73	0	86	0	0	0	0	0	0	0	0	0	0	165	481	0	0	0	6	0	0
input/profiles/Observation-pregnancy-status-uv-ips.structuredefinition.xml	4140	10	0	0	0	0	0	117	0	119	0	0	0	0	0	0	0	9	0	0	265	444	0	0	0	9	0	0
input/profiles/Psgc12.json	351258	458	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	3	0	0	769	398	0	0	0	21	0	2
input/profiles/Psgc11.json	372443	577	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	3	0	0	807	565	0	0	0	22	0	2
input/profiles/SimpleQuantity-uv-ips.structuredefinition.xml	1677	6	1	0	0	0	0	17	0	18	0	0	0	0	0	0	0	0	0	0	35	194	0	0	0	1	0	0
input/profiles/Psgc13.json	424799	554	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	11	0	0	864	644	0	0	0	26	0	2
input/profiles/Psgc10.json	648636	821	0	0	0	0	0	0	23	0	0	0	1	1	0	0	0	5	0	0	1309	1007	0	0	0	40	0	3
input/profiles/Device-observer-uv-ips.structuredefinition.xml	1438	6	0	0	0	0	0	89	0	90	0	0	0	0	0	0	0	1	0	0	197	317	0	0	0	5	1	0
input/profiles/Patient-uv-ips.structuredefinition.xml	4030	9	0	0	0	0	0	89	0	91	0	0	0	0	0	0	0	0	0	0	198	344	0	0	0	6	0	0
input/profiles/Observation-pregnancy-outcome-uv-ips.structuredefinition.xml	3485	8	0	0	0	0	0	107	0	106	0	0	0	0	0	0	0	9	0	0	242	402	0	0	0	8	0	1
input/profiles/Quantity-uv-ips.structuredefinition.xml	1626	5	0	0	0	0	0	15	0	17	0	0	0	0	0	0	0	0	0	0	35	135	0	0	0	2	0	0
input/profiles/Procedure-uv-ips.structuredefinition.xml	5625	10	0	0	0	0	0	94	0	95	0	0	0	0	0	0	0	1	0	0	210	471	0	0	0	20	0	0
input/profiles/Specimen-uv-ips.structuredefinition.xml	3713	34	0	0	0	0	0	82	0	87	0	0	0	0	0	0	0	0	0	0	181	503	0	0	0	17	0	0
input/profiles/Observation-results-uv-ips.structuredefinition.xml	4733	26	1	0	0	0	0	0	1	107	0	0	0	0	0	0	0	1	0	0	243	630	0	0	0	8	0	0
input/profiles/Psgcbrmm.json	833524	1169	0	0	0	0	0	0	30	0	0	0	1	0	0	0	0	14	0	0	1782	1181	0	0	0	63	0	4
fsh-generated/resources/StructureDefinition-patient.json	4636	7	0	0	0	0	0	234	0	235	0	0	0	0	0	0	0	1	0	0	355	786	0	0	0	10	0	1
